Source,Target,Capacity,Cost
0,1,56,1.6190197072299375
0,2,49,4.916522068977658
0,3,46,3.5566818431217757
0,4,54,2.3049482449658116
0,5,59,2.452401048539785
1,0,54,3.6673149860550667
1,2,55,2.271078976740823
1,3,54,1.7212885611619893
1,4,49,4.039054612308009
1,5,54,3.075720982577046
2,0,44,4.072622251230791
2,1,58,1.9179481646287062
2,3,42,2.8871823021541827
2,4,54,4.601567812239175
2,5,51,2.277040137827585
3,0,55,4.343154072782301
3,1,53,4.176634432468159
3,2,44,3.4359438347356313
3,4,52,3.5654902884745234
3,5,59,2.3548243681580594
4,0,55,3.837766737764161
4,1,46,3.0035114515150223
4,2,47,2.7099474661925673
4,3,47,2.4169939645786407
4,5,42,1.1904315432716501
5,0,53,1.9940948801618585
5,1,56,4.484249340337145
5,2,47,2.4618184929869895
5,3,52,4.095798852766148
5,4,42,3.958669799392244

entry,Target,Traffic Demand
1,3,10
1,5,5
3,1,19
3,5,18
5,1,10
5,3,18

Subset S
1,3,5
