Source,Target,Capacity,Cost
0,1,14,4.0207669538971045
0,2,16,4.536942937494576
0,3,12,3.2415836088153327
0,4,13,3.4132799489044916
0,5,14,1.5282955202323798
0,6,12,4.6478328304580785
0,7,14,1.3584541357207067
1,0,11,1.57332531513002
1,2,13,1.1531969938956386
1,3,20,3.886472976204979
1,4,16,2.4578462433844668
1,5,11,4.948627211003645
1,6,12,3.3229162852897898
1,7,12,2.309335609241465
2,0,10,3.279524111621131
2,1,16,2.1081843622226626
2,3,14,1.4373085266197339
2,4,13,4.115057579919542
2,5,16,1.88922335740682
2,6,17,4.356673676648345
2,7,17,1.7049412269968727
3,0,16,1.9025942482900642
3,1,18,3.87219099606809
3,2,13,2.0617351940318263
3,4,11,1.2434649070488826
3,5,10,4.871266636778017
3,6,18,2.710318904811388
3,7,17,4.102031446233598
4,0,20,4.64300724965133
4,1,12,2.6474854071398553
4,2,16,1.3278226485817912
4,3,17,3.46675440538139
4,5,13,1.1500818992334234
4,6,14,3.905590076748419
4,7,18,4.046930339370174
5,0,12,3.8727305013706674
5,1,17,4.722741061728527
5,2,13,1.916099165341841
5,3,13,4.279842024774096
5,4,10,2.980823662015233
5,6,18,3.101738873172386
5,7,20,3.421787040544116
6,0,17,4.438630801933457
6,1,18,4.718678948246177
6,2,11,4.17012591913382
6,3,12,1.2384958164961626
6,4,14,3.662653374934042
6,5,16,3.7520873093939993
6,7,11,2.9632354337398077
7,0,20,3.3150834850148043
7,1,10,2.221196355733489
7,2,12,1.6453095852107342
7,3,10,2.112983747283072
7,4,10,2.2910287426265694
7,5,19,2.7370899973054397
7,6,10,4.957802024334274

entry,Target,Traffic Demand
2,3,17
2,4,5
3,2,4
3,4,15
4,2,18
4,3,18

Subset S
2,3,4
