Source,Target,Capacity,Cost
0,3,6,2.443339682900224
0,8,10,2.94893865378642
0,10,10,2.067889566359563
1,7,10,4.262195040440478
1,10,6,4.182616762277606
2,0,10,1.9869124109907808
2,5,5,3.0089292314365608
2,6,4,1.9509111295947918
2,9,8,1.0689694639823708
2,10,9,3.6005585310106043
2,12,7,2.7771212382512545
2,13,8,3.125400535127809
3,1,6,3.797551524946652
3,8,7,1.1290328765501543
3,9,4,3.941624324209041
3,11,2,1.5039153879462082
3,13,7,2.482060398136057
3,14,3,4.343076471004764
4,1,2,1.828532116380682
4,6,5,3.802833451508708
4,8,7,2.219917177744152
4,14,10,2.4638262983922896
5,3,10,2.6595211768445584
5,7,6,2.1995982888708445
5,9,1,1.4564070828773192
5,12,7,1.9199241582132265
5,14,4,1.3146952346379552
6,1,3,4.288457466633778
6,9,3,1.953149225296222
6,10,4,2.1034816578526305
7,0,8,2.9023316906431993
7,3,7,1.6101395664782756
7,5,5,2.5453876623164473
7,8,1,4.854822493766635
7,10,4,1.771364634019375
7,13,1,1.526524560979881
7,14,8,2.7004996967695556
8,9,6,2.429392015316546
8,10,6,2.4951758810644473
8,11,9,2.245326332100355
9,0,10,4.208144943728032
9,4,8,4.352087205540007
9,6,9,2.644283058515602
9,10,6,3.5961281562978034
10,4,10,2.8617052549105786
10,5,4,1.2356298034126931
10,8,2,1.7667876564532388
10,9,10,3.543799395269371
10,12,8,1.5758551765070385
10,13,9,4.734507122206237
10,14,6,1.1342446875030587
11,1,9,3.246643724363638
11,3,1,4.173257701829259
11,5,4,4.727690085018664
11,8,3,1.8587354379518248
11,10,6,2.572151994095959
11,12,7,3.65809871997038
12,5,5,3.4880851753712445
12,8,9,4.630208005050785
12,9,8,2.2113454770241856
13,7,4,2.7025852680059224
14,6,7,3.514061733270849
14,9,3,4.870470348843718
14,13,9,3.5708502197055934

entry,Target,Traffic Demand
3,10,11
3,9,9
3,2,6
3,4,14
10,3,9
10,9,10
10,2,9
10,4,1
9,3,7
9,10,3
9,2,19
9,4,10
2,3,16
2,10,5
2,9,9
2,4,4
4,3,20
4,10,18
4,9,11
4,2,13

Subset S
3,10,9,2,4
