Source,Target,Capacity,Cost
0,3,4,2.825554588430803
0,4,9,4.079122194585986
0,8,5,2.767533544025003
0,11,4,4.222303329536446
1,5,9,2.9692598848099063
1,9,10,2.2895228536993044
1,10,3,1.6469906080442653
1,11,7,3.1839378218335037
1,14,8,2.3401871991486223
2,0,5,1.9883132571173414
2,1,9,3.208977651218955
2,3,1,1.8884205008886936
2,8,9,2.4862338994391164
2,9,7,3.733482742940082
2,10,3,2.548718980467916
3,0,10,3.5369238612992273
3,1,8,4.010163829479238
3,7,6,2.5163907182722
4,0,4,1.8452500109190915
4,2,4,2.4557062510118213
4,3,3,2.4320032790120543
4,13,9,2.377280830605482
5,1,4,2.253632197679088
5,2,4,4.258193113357131
5,6,3,3.424886940236886
5,7,5,4.7356179523645725
5,12,8,2.520597880281195
6,1,9,4.635508664856472
6,4,2,4.817493916074943
6,7,7,3.9242196127176565
6,10,4,3.0350627605827736
7,2,2,1.47327874362399
7,4,10,3.305796178323934
7,8,4,1.536282714301254
7,14,9,1.7705520927619913
8,2,6,2.6580810657771856
8,5,6,1.131453216379231
8,11,9,1.000187397265686
9,3,7,2.913147395133091
9,6,9,1.976515369902763
9,8,7,2.3666587421974734
9,12,9,2.599283379046363
10,6,8,4.705733446381248
10,7,6,3.3052801396947054
10,8,4,3.843596105526024
10,14,8,3.434513878388163
11,1,9,2.2953638481720864
11,2,4,2.4654780297722625
11,5,7,2.125088380797349
11,6,5,3.109698775886897
12,0,10,1.876306190265761
12,1,6,2.327617102459916
12,3,10,1.641920418520495
12,4,8,1.8501288484554306
12,5,9,3.267450100015679
12,6,6,2.292890337188603
12,7,1,1.6989353933791755
12,8,9,2.8426299815630705
12,10,3,1.3418540679175615
12,13,5,2.6899290308570603
13,1,9,4.59675758578374
13,4,9,2.0555223700346916
13,7,5,2.407065467673441
13,9,10,3.3165369630015253
13,12,10,2.2329441478186984
14,2,5,1.1168574655844274
14,8,9,4.108145049559019
14,9,3,1.4283252303684253
14,11,1,4.547395328255796
14,12,4,3.2340368927438194
14,13,4,3.987679302198878

entry,Target,Traffic Demand
3,8,4
3,14,18
3,13,11
3,6,20
8,3,3
8,14,4
8,13,4
8,6,14
14,3,14
14,8,3
14,13,15
14,6,2
13,3,20
13,8,12
13,14,19
13,6,20
6,3,12
6,8,2
6,14,14
6,13,19

Subset S
3,8,14,13,6
