Source,Target,Capacity,Cost
0,2,7,3.5347477009149744
0,3,5,2.0222875562083114
0,6,4,2.54126892459134
0,8,3,2.408942259985633
1,2,5,2.6125200627345255
1,4,6,3.0582634442528027
1,10,4,3.6746717192314673
2,9,8,4.969378025234183
3,0,4,1.3600091946924295
3,1,7,4.496113420908432
3,6,7,4.990366002588418
3,7,4,4.516590971903781
3,8,6,4.140245137992249
3,11,6,4.7955059225905785
4,5,8,4.908016337661355
4,6,6,4.2404984451821734
4,7,4,2.2403137924970924
5,3,7,1.7382330129239372
5,9,8,3.728859750272562
6,4,4,1.267876780008982
6,8,4,2.6393786369272054
6,9,6,2.747425631389791
7,0,7,2.8612366044361717
7,1,5,1.8187027943842966
7,9,5,1.5427785531135019
8,4,8,2.8641147199668553
8,5,4,3.9556790199962313
8,6,7,3.9024302160269184
8,9,6,3.7047665999470674
8,10,4,1.0359751145038074
9,2,8,4.580068847885337
9,3,6,1.1595498805625661
9,10,3,2.688477391622593
10,3,3,3.925769172562814
10,4,3,3.482441612030076
10,5,7,4.053864191556891
11,0,7,2.2701207959364953
11,8,8,4.632810560321227

entry,Target,Traffic Demand
4,6,8
4,0,5
6,4,6
6,0,6
0,4,8
0,6,7

Subset S
4,6,0
