Source,Target,Capacity,Cost
0,3,6,3.300268547693467
0,5,8,4.1359170719215985
0,8,7,2.8434076652316995
1,6,4,1.4632982528872414
1,8,5,4.194134149330531
1,10,8,1.5029047583177602
1,11,6,3.3140302770591736
2,8,3,2.4441234582409
3,0,6,2.300752670492102
3,2,4,4.13354021979448
3,6,5,1.0873171060052558
3,7,3,2.3996630505177405
3,9,6,3.989978713694269
4,1,7,3.683199745168315
4,10,6,1.1916535552433483
4,11,6,2.5625013062383046
5,3,5,2.8767316887766565
5,6,5,1.652050302447091
5,8,8,1.2166603296571172
6,0,7,2.6942877052680294
6,5,7,2.2136473904563156
6,10,6,4.649129837829356
7,0,8,4.086777842281286
7,10,7,1.5625549858368997
8,3,4,4.73046116771301
8,4,7,2.8939037382128316
8,9,5,4.6691826263932885
8,10,8,1.846305522192356
9,7,7,3.8747835918576157
9,8,6,4.809287205856672
9,10,5,2.14050243392377
10,0,6,2.2893599473604405
10,3,5,4.600209800220153
10,4,4,2.0983301425159384
10,6,7,3.2575011260584263
10,7,6,3.5625124551641107
10,9,8,2.85178549984498
11,3,5,2.336856789113979
11,5,4,2.4498588679360163
11,6,8,3.62007496406053
11,7,4,3.109980809818844

entry,Target,Traffic Demand
3,8,8
3,0,7
8,3,6
8,0,8
0,3,6
0,8,4

Subset S
3,8,0
