Source,Target,Capacity,Cost
0,1,53,3.3552997733832703
0,2,51,2.5745825699813194
0,3,60,2.2077398270514985
0,4,56,3.5432560692792165
0,5,43,3.9072385312825073
1,0,43,1.016102214330156
1,2,56,2.537098453664806
1,3,48,4.079286031667483
1,4,51,2.3012813701677555
1,5,55,3.8003998733456643
2,0,42,1.2460764311580013
2,1,57,3.446053357287245
2,3,43,1.0221725075486026
2,4,59,1.3926640772435253
2,5,49,3.8077439468325043
3,0,54,4.161437387679671
3,1,51,3.688869326942514
3,2,58,1.759753966376361
3,4,56,1.1284983406995135
3,5,59,3.235319133684948
4,0,40,4.6079779130335865
4,1,54,4.735505020992576
4,2,56,3.0602064656590637
4,3,51,3.0912932282159367
4,5,53,3.9004902907248575
5,0,50,3.0876838770291535
5,1,41,3.23980546883996
5,2,44,3.573341225318019
5,3,58,3.4515362433572085
5,4,50,2.1259920165834245

entry,Target,Traffic Demand
4,0,2
4,3,5
0,4,2
0,3,20
3,4,13
3,0,20

Subset S
4,0,3
