Source,Target,Capacity,Cost
0,2,4,1.4919152275173047
0,4,10,3.66108935639987
0,5,5,4.407311929069032
2,3,5,1.8910663560802878
2,4,8,4.321944442691455
2,6,1,4.643027417363163
3,1,3,1.6142049191477672
3,9,6,3.2155602770993257
4,6,7,2.659024756327112
5,7,6,4.229441743335721
6,4,4,2.2710629201238706
6,5,2,2.1807116584760213
6,8,4,4.5666424124809835
6,9,3,1.2942053819368908
7,0,3,1.8889173379792532
8,0,10,2.963646156258423
8,6,7,4.290107094453299
8,9,9,1.253678142771843

Source,Target,Traffic Demand
4,7,20
4,0,10
4,8,2
4,5,12
7,4,14
7,0,4
7,8,19
7,5,1
0,4,9
0,7,19
0,8,9
0,5,5
8,4,13
8,7,7
8,0,10
8,5,15
5,4,14
5,7,10
5,0,14
5,8,2

Subset S
4,7,0,8,5
